candidate_id,topic_id,topic_name,n_tweets,avg_engagement,median_engagement,total_engagement,avg_views,label
david_belliard,0,Logement & urbanisme,71,2510.450704225352,48.0,178242,124543.05633802817,Belliard (EELV)
david_belliard,8,Deux / Emmanuel / Peuple,25,1555.56,102.0,38889,53596.92,Belliard (EELV)
david_belliard,6,Budget & finances,33,1489.030303030303,206.0,49138,133124.57575757575,Belliard (EELV)
david_belliard,2,Geopolitique & international,61,1038.8688524590164,51.0,63371,75615.7868852459,Belliard (EELV)
david_belliard,9,Soutien / Jour / France,51,779.1764705882352,59.0,39738,35114.17647058824,Belliard (EELV)
david_belliard,7,Education & culture,115,442.96521739130435,140.0,50941,24524.373913043477,Belliard (EELV)
david_belliard,5,Arrondissement / Liberté / Gauche,66,383.8181818181818,63.5,25332,76758.63636363637,Belliard (EELV)
david_belliard,4,Securite & delinquance,48,353.2916666666667,72.0,16958,37710.4375,Belliard (EELV)
david_belliard,3,Social & solidarite,68,193.14705882352942,55.5,13134,23594.75,Belliard (EELV)
david_belliard,1,Vie locale & citoyennete,71,175.40845070422534,49.0,12454,22140.394366197183,Belliard (EELV)
emmanuel_gregoire,7,Education & culture,168,278.79761904761904,178.5,46838,32767.369047619046,Gregoire (PS)
emmanuel_gregoire,8,Deux / Emmanuel / Peuple,88,201.45454545454547,114.0,17728,24529.329545454544,Gregoire (PS)
emmanuel_gregoire,5,Arrondissement / Liberté / Gauche,129,184.49612403100775,138.0,23800,18861.263565891473,Gregoire (PS)
emmanuel_gregoire,6,Budget & finances,90,180.72222222222223,84.0,16265,28912.855555555554,Gregoire (PS)
emmanuel_gregoire,3,Social & solidarite,106,170.5566037735849,86.0,18079,49063.735849056604,Gregoire (PS)
emmanuel_gregoire,1,Vie locale & citoyennete,102,168.81372549019608,115.0,17219,20049.63725490196,Gregoire (PS)
emmanuel_gregoire,4,Securite & delinquance,76,142.27631578947367,113.0,10813,13554.144736842105,Gregoire (PS)
emmanuel_gregoire,0,Logement & urbanisme,156,134.22435897435898,76.5,20939,10127.51282051282,Gregoire (PS)
emmanuel_gregoire,2,Geopolitique & international,92,131.3695652173913,69.0,12086,12582.260869565218,Gregoire (PS)
emmanuel_gregoire,9,Soutien / Jour / France,133,100.40601503759399,65.0,13354,10679.586466165414,Gregoire (PS)
ian_brossat,3,Social & solidarite,64,2195.953125,698.5,140541,77568.421875,Brossat (PCF)
ian_brossat,7,Education & culture,320,2072.240625,1028.5,663117,72328.309375,Brossat (PCF)
ian_brossat,2,Geopolitique & international,99,1797.878787878788,1160.0,177990,40904.181818181816,Brossat (PCF)
ian_brossat,0,Logement & urbanisme,82,1673.6463414634147,325.5,137239,108184.56097560975,Brossat (PCF)
ian_brossat,8,Deux / Emmanuel / Peuple,41,1630.1463414634147,543.0,66836,69581.87804878049,Brossat (PCF)
ian_brossat,6,Budget & finances,179,1615.854748603352,1008.0,289238,59551.340782122905,Brossat (PCF)
ian_brossat,9,Soutien / Jour / France,95,1481.4315789473685,644.0,140736,46961.073684210525,Brossat (PCF)
ian_brossat,4,Securite & delinquance,86,1030.0581395348838,443.5,88585,32182.96511627907,Brossat (PCF)
ian_brossat,1,Vie locale & citoyennete,78,963.5512820512821,405.0,75157,59796.01282051282,Brossat (PCF)
ian_brossat,5,Arrondissement / Liberté / Gauche,78,759.6153846153846,399.5,59250,34351.743589743586,Brossat (PCF)
pierre_yves_bournazel,0,Logement & urbanisme,139,2252.1007194244603,91.0,313042,45903.58273381295,Bournazel (Hor.)
pierre_yves_bournazel,2,Geopolitique & international,56,659.4285714285714,106.0,36928,30796.875,Bournazel (Hor.)
pierre_yves_bournazel,8,Deux / Emmanuel / Peuple,31,281.48387096774195,157.0,8726,25164.129032258064,Bournazel (Hor.)
pierre_yves_bournazel,7,Education & culture,74,242.98648648648648,155.5,17981,41125.59459459459,Bournazel (Hor.)
pierre_yves_bournazel,4,Securite & delinquance,96,231.27083333333334,157.5,22202,21880.364583333332,Bournazel (Hor.)
pierre_yves_bournazel,6,Budget & finances,32,222.875,93.0,7132,19554.9375,Bournazel (Hor.)
pierre_yves_bournazel,9,Soutien / Jour / France,48,177.60416666666666,108.5,8525,6335.166666666667,Bournazel (Hor.)
pierre_yves_bournazel,5,Arrondissement / Liberté / Gauche,125,169.48,116.0,21185,10421.896,Bournazel (Hor.)
pierre_yves_bournazel,1,Vie locale & citoyennete,111,148.56756756756758,112.0,16491,7993.855855855856,Bournazel (Hor.)
pierre_yves_bournazel,3,Social & solidarite,121,134.55371900826447,106.0,16281,9103.528925619834,Bournazel (Hor.)
rachida_dati,9,Soutien / Jour / France,60,1249.45,547.0,74967,75453.58333333333,Dati (LR)
rachida_dati,8,Deux / Emmanuel / Peuple,39,1229.2564102564102,868.0,47941,63974.769230769234,Dati (LR)
rachida_dati,7,Education & culture,118,1049.449152542373,478.0,123835,105107.97457627118,Dati (LR)
rachida_dati,1,Vie locale & citoyennete,62,1037.8870967741937,694.5,64349,66323.16129032258,Dati (LR)
rachida_dati,4,Securite & delinquance,117,918.1452991452992,511.0,107423,59906.59829059829,Dati (LR)
rachida_dati,5,Arrondissement / Liberté / Gauche,80,843.0875,569.5,67447,51334.075,Dati (LR)
rachida_dati,6,Budget & finances,39,723.6410256410256,556.0,28222,39122.48717948718,Dati (LR)
rachida_dati,3,Social & solidarite,123,646.0731707317074,291.0,79467,38804.78048780488,Dati (LR)
rachida_dati,0,Logement & urbanisme,163,510.44785276073617,306.0,83203,40166.48466257669,Dati (LR)
rachida_dati,2,Geopolitique & international,84,462.6547619047619,225.0,38863,24416.071428571428,Dati (LR)
sarah_knafo,4,Securite & delinquance,83,32638.253012048193,9932.0,2708975,212688.43373493975,Knafo (Reconq.)
sarah_knafo,9,Soutien / Jour / France,55,29314.50909090909,13558.0,1612298,199398.9090909091,Knafo (Reconq.)
sarah_knafo,6,Budget & finances,189,27811.291005291005,10783.0,5256334,234746.0529100529,Knafo (Reconq.)
sarah_knafo,3,Social & solidarite,89,23191.337078651686,7443.0,2064029,171801.70786516854,Knafo (Reconq.)
sarah_knafo,2,Geopolitique & international,184,20886.75,9456.0,3843162,169115.29347826086,Knafo (Reconq.)
sarah_knafo,7,Education & culture,202,20844.559405940596,7177.5,4210601,153911.73762376237,Knafo (Reconq.)
sarah_knafo,0,Logement & urbanisme,142,14808.56338028169,4855.0,2102816,156373.9366197183,Knafo (Reconq.)
sarah_knafo,8,Deux / Emmanuel / Peuple,69,14077.08695652174,7826.0,971319,209948.69565217392,Knafo (Reconq.)
sarah_knafo,5,Arrondissement / Liberté / Gauche,92,8351.554347826086,3517.5,768343,175261.89130434784,Knafo (Reconq.)
sarah_knafo,1,Vie locale & citoyennete,66,7147.287878787879,5604.5,471721,137274.66666666666,Knafo (Reconq.)
sophia_chikirou,9,Soutien / Jour / France,95,2334.2526315789473,786.0,221754,131425.91578947369,Chikirou (LFI)
sophia_chikirou,7,Education & culture,100,2131.45,833.5,213145,73221.87,Chikirou (LFI)
sophia_chikirou,2,Geopolitique & international,160,1625.925,633.5,260148,42169.64375,Chikirou (LFI)
sophia_chikirou,8,Deux / Emmanuel / Peuple,25,1568.2,963.0,39205,37523.44,Chikirou (LFI)
sophia_chikirou,0,Logement & urbanisme,102,1444.4901960784314,458.5,147338,71005.04901960785,Chikirou (LFI)
sophia_chikirou,6,Budget & finances,117,1330.7521367521367,556.0,155698,49142.00854700855,Chikirou (LFI)
sophia_chikirou,4,Securite & delinquance,65,1172.553846153846,494.0,76216,52260.338461538464,Chikirou (LFI)
sophia_chikirou,1,Vie locale & citoyennete,86,999.9651162790698,566.0,85997,26081.79069767442,Chikirou (LFI)
sophia_chikirou,3,Social & solidarite,57,981.6140350877193,553.0,55952,37318.17543859649,Chikirou (LFI)
sophia_chikirou,5,Arrondissement / Liberté / Gauche,61,758.5573770491803,517.0,46272,33236.42622950819,Chikirou (LFI)
thierry_mariani,9,Soutien / Jour / France,56,4241.607142857143,1847.0,237530,118047.75,Mariani (RN)
thierry_mariani,6,Budget & finances,113,3221.097345132743,1256.0,363984,87211.0,Mariani (RN)
thierry_mariani,8,Deux / Emmanuel / Peuple,48,3124.6666666666665,1160.0,149984,66300.14583333333,Mariani (RN)
thierry_mariani,3,Social & solidarite,52,3061.4615384615386,625.0,159196,65151.846153846156,Mariani (RN)
thierry_mariani,2,Geopolitique & international,232,2538.2413793103447,867.5,588872,119660.37068965517,Mariani (RN)
thierry_mariani,4,Securite & delinquance,77,2015.8181818181818,531.0,155218,40200.28571428572,Mariani (RN)
thierry_mariani,0,Logement & urbanisme,61,1929.7377049180327,190.0,117714,54797.32786885246,Mariani (RN)
thierry_mariani,7,Education & culture,173,1662.1098265895953,432.0,287545,40551.04046242774,Mariani (RN)
thierry_mariani,1,Vie locale & citoyennete,44,880.1136363636364,163.5,38725,18143.0,Mariani (RN)
thierry_mariani,5,Arrondissement / Liberté / Gauche,65,445.95384615384614,144.0,28987,20526.03076923077,Mariani (RN)
